name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_curr;salary_avg;is_senior
senior data analyst - remote;Infogain Technologies Sp. z o.o.;Business Analysis Data analysis Data management Data structures;data analyst;N/A;;21840.0;26880.0;PLN;24360.0;1
hr data analyst;Nordcloud;HR MS Excel Data visualization Power BI;data analyst;N/A;;11000.0;13000.0;PLN;12000.0;0
[remote] senior data analyst;Justpoint;Business Analysis Analytical skills BigQuery Data visualization;data analyst;N/A;;19991.0;27988.0;PLN;23989.5;1
data & system analyst (fintech);Meniga sp. z o.o;Business Analysis System analysis REST SQL;data analyst;warszawa;PL;18000.0;23000.0;PLN;20500.0;0
data analyst;Connectis_;Data Jira Atlassian ITIL;data analyst;warszawa;PL;19500.0;21500.0;PLN;20500.0;0
senior data analyst;hubQuest;Data SQL Power BI / Tableau Python / R;data analyst;N/A;;20000.0;26000.0;PLN;23000.0;1
product data analyst;Jamf;Data SQL Data analysis Data visualization;data analyst;N/A;;7000.0;10000.0;PLN;8500.0;0
global hr master data analyst;Danish Crown GBS;Data MS Office MS Excel SAP;data analyst;kraków;PL;0.0;0.0;PLN;0.0;0
remote mid data analyst;Link Group;Data Data analysis AWS Power BI;data analyst;N/A;;18480.0;25200.0;PLN;21840.0;0
senior data analyst;Alcon;Data Data analysis SQL Data Lake;data analyst;N/A;;0.0;0.0;PLN;0.0;1
master data management analyst;Sylvamo Polska Sp. z o.o.;IT Support angielski;data analyst;kraków;PL;11700.0;14300.0;PLN;13000.0;0
data engineer in microsoft azure cloud;Avanade Poland;Data Data analyst Python Azure;data analyst;N/A;;19320.0;29400.0;PLN;24360.0;0
hr student assistant;Falck Digital Technology Poland;HR angielski;data analyst;warszawa;PL;0.0;0.0;PLN;0.0;0
data architect;AVENGA;Data Azure Microsoft Azure SQL;data analyst;N/A;;25200.0;30200.0;PLN;27700.0;0
senior it analyst (fintech);Infopulse;Business Analysis UI Prototyping Data mapping;data analyst;N/A;;21000.0;25200.0;PLN;23100.0;1
